frame_idx,timestamp_us,cx,cy,valid,state,source,area,circ,mean_brightness,score,candidate_count
0,741037550.0,222,271,1,SEEKING_REST,percentile,239.5,0.7417,78.99,2.1995,5
1,741044500.0,222,271,1,SEEKING_REST,percentile,241.5,0.7678,78.31,2.2535,4
2,741047971.0,223,271,1,SEEKING_REST,percentile,240.5,0.7448,77.68,2.2002,4
3,741051445.0,223,271,1,SEEKING_REST,percentile,238.0,0.771,77.81,2.2513,4
4,741054918.0,223,271,1,REST_FOUND,percentile,235.0,0.7819,77.64,2.2667,5
5,741061866.0,223,271,1,REST_FOUND,percentile,228.0,0.7586,78.04,2.2073,5
6,741065339.0,223,271,1,REST_FOUND,percentile,223.5,0.7791,77.83,2.2386,4
7,741068814.0,224,270,1,REST_FOUND,adaptive,126.0,0.5541,86.94,1.612,4
8,741075763.0,,,0,REST_FOUND,,,,,0.0,5
9,741079234.0,,,0,REST_FOUND,,,,,0.0,4
10,741082707.0,,,0,SEEKING_REST,,,,,0.0,3
11,741086181.0,229,244,1,SEEKING_REST,adaptive,98.0,0.2905,75.2,-2.216,6
12,741093129.0,,,0,SEEKING_REST,,,,,0.0,5
13,741096601.0,,,0,SEEKING_REST,,,,,0.0,4
14,741100075.0,,,0,SEEKING_REST,,,,,0.0,5
15,741107022.0,229,245,1,SEEKING_REST,adaptive,92.5,0.2047,75.44,0.1052,5
16,741110496.0,229,244,1,SEEKING_REST,adaptive,99.0,0.1923,75.6,0.041,5
17,741113969.0,,,0,SEEKING_REST,,,,,0.0,5
18,741117443.0,,,0,SEEKING_REST,,,,,0.0,4
19,741127866.0,,,0,SEEKING_REST,,,,,0.0,4
20,741131338.0,,,0,SEEKING_REST,,,,,0.0,4
21,741134811.0,,,0,SEEKING_REST,,,,,0.0,3
22,741138284.0,,,0,SEEKING_REST,,,,,0.0,3
23,741141769.0,228,244,1,SEEKING_REST,adaptive,92.0,0.2234,76.13,0.1016,4
24,741145231.0,,,0,SEEKING_REST,,,,,0.0,4
