frame_idx,timestamp_us,phase
0,701435100000,pre
1,701438574000,pre
2,701442048000,pre
3,701445524000,pre
4,701448994000,pre
5,701452469000,pre
6,701455941000,pre
7,701459415000,pre
8,701462888000,pre
9,701466362000,pre
10,701469835000,pre
11,701473309000,pre
12,701476785000,pre
13,701480257000,pre
14,701483737000,pre
15,701487202000,post
16,701490676000,post
17,701494149000,post
18,701497625000,post
19,701501096000,post
20,701504569000,post
21,701508044000,post
22,701511516000,post
23,701514990000,post
24,701518464000,post
25,701521937000,post
26,701525410000,post
27,701528884000,post
28,701532357000,post
29,701535831000,post
30,701539304000,post
31,701542777000,post
32,701546251000,post
33,701549724000,post
34,701553197000,post
35,701556672000,post
36,701560145000,post
37,701563618000,post
38,701567091000,post
39,701570565000,post
40,701574038000,post
41,701577512000,post
42,701580986000,post
43,701584459000,post
44,701587932000,post
