frame_idx,timestamp_us,phase
0,677944395000,pre
1,677947869000,pre
2,677951342000,pre
3,677954815000,pre
4,677958288000,pre
5,677961763000,pre
6,677965236000,pre
7,677968708000,pre
8,677975656000,pre
9,677979129000,pre
10,677986078000,pre
11,677989551000,pre
12,677993023000,pre
13,677996496000,pre
14,678003443000,pre
15,678010390000,post
16,678013867000,post
17,678017337000,post
18,678020810000,post
19,678027758000,post
20,678031230000,post
21,678038180000,post
22,678041650000,post
23,678045124000,post
24,678052072000,post
25,678055544000,post
26,678059017000,post
27,678062491000,post
28,678069437000,post
29,678076384000,post
30,678079858000,post
31,678083330000,post
32,678086805000,post
33,678090278000,post
34,678093751000,post
35,678100698000,post
36,678104171000,post
37,678107645000,post
38,678111118000,post
39,678114591000,post
40,678118064000,post
41,678121538000,post
42,678125011000,post
43,678128484000,post
44,678131958000,post
