frame_idx,timestamp_us,phase
0,762832543000,pre
1,762836017000,pre
2,762839490000,pre
3,762842966000,pre
4,762846438000,pre
5,762849910000,pre
6,762853384000,pre
7,762856858000,pre
8,762860332000,pre
9,762863805000,pre
10,762867278000,pre
11,762870752000,pre
12,762874227000,pre
13,762877699000,pre
14,762881173000,pre
15,762884646000,post
16,762888120000,post
17,762891593000,post
18,762895067000,post
19,762898541000,post
20,762902015000,post
21,762905487000,post
22,762908961000,post
23,762912436000,post
24,762915908000,post
25,762919381000,post
26,762922856000,post
27,762926329000,post
28,762929802000,post
29,762933276000,post
30,762936749000,post
31,762940223000,post
32,762943698000,post
33,762947171000,post
34,762950644000,post
35,762954118000,post
36,762957590000,post
37,762961064000,post
38,762964539000,post
39,762968019000,post
40,762971491000,post
41,762974958000,post
42,762978432000,post
43,762981906000,post
44,762985380000,post
