frame_idx,timestamp_us,phase
0,605557699000,pre
1,605561172000,pre
2,605564645000,pre
3,605568118000,pre
4,605571591000,pre
5,605575065000,pre
6,605578538000,pre
7,605582011000,pre
8,605585484000,pre
9,605588957000,pre
10,605592431000,pre
11,605595904000,pre
12,605599377000,pre
13,605602850000,pre
14,605606323000,pre
15,605609796000,post
16,605613269000,post
17,605616745000,post
18,605620216000,post
19,605623689000,post
20,605627162000,post
21,605630635000,post
22,605634109000,post
23,605637581000,post
24,605641055000,post
25,605644528000,post
26,605648016000,post
27,605651477000,post
28,605654947000,post
29,605658421000,post
30,605661896000,post
31,605665367000,post
32,605668840000,post
33,605672315000,post
34,605675787000,post
35,605679260000,post
36,605682734000,post
37,605686206000,post
38,605689680000,post
39,605693156000,post
40,605696625000,post
41,605700098000,post
42,605703573000,post
43,605707046000,post
44,605710517000,post
