frame_idx,timestamp_us,phase
0,727770907000,pre
1,727774381000,pre
2,727777854000,pre
3,727781327000,pre
4,727784800000,pre
5,727788275000,pre
6,727791749000,pre
7,727795222000,pre
8,727798695000,pre
9,727802169000,pre
10,727805642000,pre
11,727809122000,pre
12,727812588000,pre
13,727816062000,pre
14,727819535000,pre
15,727823009000,post
16,727826483000,post
17,727829957000,post
18,727833431000,post
19,727836904000,post
20,727840376000,post
21,727843849000,post
22,727847325000,post
23,727850797000,post
24,727854270000,post
25,727857744000,post
26,727861218000,post
27,727864690000,post
28,727868164000,post
29,727871638000,post
30,727875111000,post
31,727878585000,post
32,727882058000,post
33,727885532000,post
34,727889005000,post
35,727892478000,post
36,727895952000,post
37,727899425000,post
38,727902901000,post
39,727906372000,post
40,727909846000,post
41,727913319000,post
42,727916793000,post
43,727920266000,post
44,727923740000,post
