frame_idx,timestamp_us,phase
0,722119551000,pre
1,722123024000,pre
2,722126498000,pre
3,722129971000,pre
4,722133444000,pre
5,722136918000,pre
6,722140391000,pre
7,722143865000,pre
8,722147338000,pre
9,722150812000,pre
10,722154285000,pre
11,722157759000,pre
12,722161232000,pre
13,722168181000,pre
14,722171653000,pre
15,722175126000,post
16,722178600000,post
17,722182074000,post
18,722185547000,post
19,722189020000,post
20,722192493000,post
21,722195968000,post
22,722199441000,post
23,722202914000,post
24,722206387000,post
25,722209861000,post
26,722213341000,post
27,722216808000,post
28,722220282000,post
29,722223761000,post
30,722227232000,post
31,722230702000,post
32,722234176000,post
33,722237648000,post
34,722241122000,post
35,722244596000,post
36,722248070000,post
37,722251542000,post
38,722255016000,post
39,722258489000,post
40,722261963000,post
41,722265436000,post
42,722268910000,post
43,722272383000,post
44,722275857000,post
