frame_idx,timestamp_us,phase
0,545611663000,pre
1,545615137000,pre
2,545618611000,pre
3,545622084000,pre
4,545625558000,pre
5,545629032000,pre
6,545632505000,pre
7,545635979000,pre
8,545639453000,pre
9,545642926000,pre
10,545646399000,pre
11,545649873000,pre
12,545653347000,pre
13,545656822000,pre
14,545660294000,pre
15,545663768000,post
16,545667241000,post
17,545670715000,post
18,545674188000,post
19,545677662000,post
20,545681136000,post
21,545684610000,post
22,545688082000,post
23,545691557000,post
24,545695031000,post
25,545698504000,post
26,545701977000,post
27,545705451000,post
28,545708925000,post
29,545712398000,post
30,545715871000,post
31,545719345000,post
32,545722819000,post
33,545726292000,post
34,545729766000,post
35,545733239000,post
36,545736713000,post
37,545740187000,post
38,545747137000,post
39,545750608000,post
40,545754084000,post
41,545757558000,post
42,545761029000,post
43,545764502000,post
44,545767975000,post
