frame_idx,timestamp_us,phase
0,1383320616000,pre
1,1383324089000,pre
2,1383327563000,pre
3,1383331037000,pre
4,1383334510000,pre
5,1383337987000,pre
6,1383341462000,pre
7,1383344931000,pre
8,1383348404000,pre
9,1383351880000,pre
10,1383355352000,pre
11,1383358826000,pre
12,1383362308000,pre
13,1383365777000,pre
14,1383369247000,pre
15,1383372723000,post
16,1383376193000,post
17,1383379667000,post
18,1383383141000,post
19,1383386614000,post
20,1383390088000,post
21,1383393563000,post
22,1383397036000,post
23,1383400509000,post
24,1383403987000,post
25,1383407456000,post
26,1383410929000,post
27,1383414403000,post
28,1383417877000,post
29,1383421351000,post
30,1383424824000,post
31,1383428298000,post
32,1383431771000,post
33,1383435245000,post
34,1383438718000,post
35,1383442193000,post
36,1383445666000,post
37,1383449140000,post
38,1383452613000,post
39,1383456088000,post
40,1383459560000,post
41,1383463034000,post
42,1383466509000,post
43,1383469981000,post
44,1383473455000,post
