frame_idx,timestamp_us,phase
0,636785390000,pre
1,636788863000,pre
2,636792338000,pre
3,636799283000,pre
4,636802757000,pre
5,636806231000,pre
6,636809703000,pre
7,636816651000,pre
8,636820124000,pre
9,636823596000,pre
10,636827070000,pre
11,636834018000,pre
12,636837490000,pre
13,636840963000,pre
14,636844437000,pre
15,636847909000,post
16,636851382000,post
17,636858329000,post
18,636861802000,post
19,636865277000,post
20,636868748000,post
21,636872222000,post
22,636875695000,post
23,636879168000,post
24,636882641000,post
25,636886116000,post
26,636889588000,post
27,636893061000,post
28,636896534000,post
29,636900021000,post
30,636903481000,post
31,636906956000,post
32,636910428000,post
33,636913901000,post
34,636917374000,post
35,636920848000,post
36,636924321000,post
37,636927795000,post
38,636931267000,post
39,636934742000,post
40,636938214000,post
41,636941687000,post
42,636945161000,post
43,636948633000,post
44,636952108000,post
