frame_idx,timestamp_us,phase
0,514533205000,pre
1,514536679000,pre
2,514543628000,pre
3,514547100000,pre
4,514550573000,pre
5,514554048000,pre
6,514557520000,pre
7,514560994000,pre
8,514567942000,pre
9,514571415000,pre
10,514574888000,pre
11,514578362000,pre
12,514581836000,pre
13,514588786000,pre
14,514592259000,pre
15,514595730000,post
16,514599204000,post
17,514606153000,post
18,514609626000,post
19,514613098000,post
20,514616573000,post
21,514620046000,post
22,514623519000,post
23,514626993000,post
24,514633941000,post
25,514637414000,post
26,514640887000,post
27,514644361000,post
28,514651308000,post
29,514658258000,post
30,514661729000,post
31,514665202000,post
32,514672151000,post
33,514675624000,post
34,514679098000,post
35,514682571000,post
36,514686044000,post
37,514692991000,post
38,514699940000,post
39,514703414000,post
40,514710360000,post
41,514713836000,post
42,514717307000,post
43,514724256000,post
44,514727728000,post
