frame_idx,timestamp_us,phase
0,735325754000,pre
1,735329226000,pre
2,735332700000,pre
3,735336174000,pre
4,735339647000,pre
5,735343120000,pre
6,735346594000,pre
7,735350067000,pre
8,735353541000,pre
9,735357016000,pre
10,735360488000,pre
11,735363962000,pre
12,735367438000,pre
13,735370908000,pre
14,735374382000,pre
15,735377862000,post
16,735381329000,post
17,735384803000,post
18,735388276000,post
19,735391749000,post
20,735395223000,post
21,735398697000,post
22,735402170000,post
23,735405644000,post
24,735409117000,post
25,735412590000,post
26,735416064000,post
27,735419538000,post
28,735423011000,post
29,735426486000,post
30,735429959000,post
31,735433432000,post
32,735436905000,post
33,735440378000,post
34,735443852000,post
35,735447326000,post
36,735450800000,post
37,735454273000,post
38,735457749000,post
39,735461221000,post
40,735464693000,post
41,735468167000,post
42,735471641000,post
43,735475114000,post
44,735478588000,post
