frame_idx,timestamp_us,phase
0,490728507000,pre
1,490731981000,pre
2,490735454000,pre
3,490738927000,pre
4,490742401000,pre
5,490745875000,pre
6,490749348000,pre
7,490752821000,pre
8,490756295000,pre
9,490759769000,pre
10,490763243000,pre
11,490766717000,pre
12,490770190000,pre
13,490773663000,pre
14,490777136000,pre
15,490780611000,post
16,490784084000,post
17,490787558000,post
18,490791032000,post
19,490794505000,post
20,490797979000,post
21,490801452000,post
22,490804926000,post
23,490808399000,post
24,490811873000,post
25,490815346000,post
26,490818820000,post
27,490822294000,post
28,490825767000,post
29,490829242000,post
30,490832715000,post
31,490836188000,post
32,490839663000,post
33,490843137000,post
34,490846609000,post
35,490850084000,post
36,490853556000,post
37,490857030000,post
38,490860504000,post
39,490863978000,post
40,490867451000,post
41,490870924000,post
42,490874398000,post
43,490877871000,post
44,490881345000,post
