frame_idx,timestamp_us,phase
0,2625206067000,pre
1,2625209541000,pre
2,2625213014000,pre
3,2625216488000,pre
4,2625219961000,pre
5,2625223435000,pre
6,2625226909000,pre
7,2625230383000,pre
8,2625233857000,pre
9,2625237331000,pre
10,2625240804000,pre
11,2625244276000,pre
12,2625247750000,pre
13,2625251224000,pre
14,2625254697000,pre
15,2625258171000,post
16,2625261645000,post
17,2625265118000,post
18,2625268592000,post
19,2625272065000,post
20,2625275539000,post
21,2625279012000,post
22,2625282486000,post
23,2625285960000,post
24,2625289433000,post
25,2625292908000,post
26,2625296381000,post
27,2625299854000,post
28,2625303328000,post
29,2625306801000,post
30,2625310276000,post
31,2625313751000,post
32,2625317222000,post
33,2625320696000,post
34,2625324170000,post
35,2625327643000,post
36,2625331117000,post
37,2625334590000,post
38,2625338064000,post
39,2625341537000,post
40,2625345011000,post
41,2625348485000,post
42,2625351958000,post
43,2625355432000,post
44,2625358905000,post
