frame_idx,timestamp_us,phase
0,6293572453000,pre
1,6293575925000,pre
2,6293579398000,pre
3,6293582872000,pre
4,6293586345000,pre
5,6293589819000,pre
6,6293593294000,pre
7,6293596766000,pre
8,6293600241000,pre
9,6293603713000,pre
10,6293607186000,pre
11,6293610659000,pre
12,6293614133000,pre
13,6293617606000,pre
14,6293621080000,pre
15,6293624553000,post
16,6293628028000,post
17,6293631501000,post
18,6293634973000,post
19,6293638447000,post
20,6293641920000,post
21,6293645393000,post
22,6293648867000,post
23,6293652341000,post
24,6293655814000,post
25,6293659287000,post
26,6293662761000,post
27,6293666234000,post
28,6293669708000,post
29,6293673181000,post
30,6293676655000,post
31,6293680128000,post
32,6293683602000,post
33,6293687075000,post
34,6293690548000,post
35,6293694022000,post
36,6293697498000,post
37,6293700973000,post
38,6293704442000,post
39,6293707919000,post
40,6293711389000,post
41,6293714865000,post
42,6293718337000,post
43,6293721809000,post
44,6293725282000,post
45,6294232405000,post
46,6294235879000,post
47,6294239354000,post
48,6294242825000,post
49,6294246297000,post
50,6294249770000,post
51,6294253245000,post
52,6294256719000,post
53,6294260191000,post
54,6294263665000,post
55,6294267138000,post
56,6294270611000,post
57,6294274084000,post
58,6294277558000,post
59,6294281031000,post
60,6294284505000,post
61,6294287978000,post
62,6294291452000,post
63,6294294925000,post
64,6294298398000,post
