frame_idx,timestamp_us,cx,cy,valid
0,4878728730.0,,,0
1,4878732203.0,,,0
2,4878735676.0,,,0
3,4878739150.0,,,0
4,4878742623.0,,,0
5,4878746097.0,,,0
6,4878749571.0,,,0
7,4878753044.0,,,0
8,4878756518.0,,,0
9,4878759993.0,,,0
10,4878763465.0,,,0
11,4878766939.0,,,0
12,4878770412.0,,,0
13,4878773886.0,,,0
14,4878777360.0,,,0
15,4878780833.0,,,0
16,4878784306.0,,,0
17,4878787780.0,,,0
18,4878791255.0,,,0
19,4878794728.0,,,0
20,4878798201.0,,,0
21,4878801675.0,,,0
22,4878805149.0,,,0
23,4878808623.0,,,0
24,4878812095.0,,,0
