frame_idx,timestamp_us,phase
0,1310252898000,pre
1,1310256372000,pre
2,1310259845000,pre
3,1310263320000,pre
4,1310266793000,pre
5,1310270267000,pre
6,1310273740000,pre
7,1310277215000,pre
8,1310280687000,pre
9,1310284161000,pre
10,1310287634000,pre
11,1310291108000,pre
12,1310294583000,pre
13,1310298056000,pre
14,1310301531000,pre
15,1310305003000,post
16,1310308476000,post
17,1310311950000,post
18,1310315423000,post
19,1310318897000,post
20,1310322370000,post
21,1310325845000,post
22,1310329318000,post
23,1310332792000,post
24,1310336266000,post
25,1310339743000,post
26,1310343213000,post
27,1310346687000,post
28,1310350159000,post
29,1310353634000,post
30,1310357106000,post
31,1310360581000,post
32,1310364054000,post
33,1310367528000,post
34,1310371001000,post
35,1310374476000,post
36,1310377949000,post
37,1310381422000,post
38,1310384896000,post
39,1310388369000,post
40,1310391843000,post
41,1310395321000,post
42,1310398790000,post
43,1310402264000,post
44,1310405737000,post
