frame_idx,timestamp_us,phase
0,1356400013000,pre
1,1356403487000,pre
2,1356406960000,pre
3,1356410434000,pre
4,1356413908000,pre
5,1356417381000,pre
6,1356420855000,pre
7,1356424329000,pre
8,1356427802000,pre
9,1356431276000,pre
10,1356434749000,pre
11,1356438223000,pre
12,1356441697000,pre
13,1356445170000,pre
14,1356448644000,pre
15,1356452117000,post
16,1356455591000,post
17,1356459065000,post
18,1356462538000,post
19,1356466012000,post
20,1356469486000,post
21,1356472961000,post
22,1356476433000,post
23,1356479906000,post
24,1356483380000,post
25,1356486853000,post
26,1356490327000,post
27,1356493801000,post
28,1356497274000,post
29,1356500747000,post
30,1356504221000,post
31,1356507695000,post
32,1356511168000,post
33,1356514642000,post
34,1356518116000,post
35,1356521590000,post
36,1356525063000,post
37,1356528537000,post
38,1356532017000,post
39,1356535484000,post
40,1356538958000,post
41,1356542433000,post
42,1356545905000,post
43,1356549379000,post
44,1356552854000,post
